symbol,exchange,company
MEG,TSX,MEG Energy Corp.
MX,TSX,Methanex Corporation
MRU,TSX,Metro Inc.
MNW,TSX,Mitel Networks Corporation
MSI,TSX,Morneau Shepell Inc.
MTL,TSX,Mullen Group Ltd.
NA,TSX,National Bank of Canada
NSU,TSX,Nevsun Resources Ltd.
NFI,TSX,New Flyer Industries Inc.
NGD,TSX,New Gold Inc.
NXE,TSX,NexGen Energy Ltd.
OSB,TSX,Norbord Inc.
NPI,TSX,Northland Power Inc.
NVU.UN,TSX,Northview Apartment Real Estate Investment Trust
NG,TSX,NovaGold Resources Inc.
NTR,TSX,Nutrien Ltd.
NVA,TSX,NuVista Energy Ltd.
OGC,TSX,OceanaGold Corporation
ONEX,TSX,Onex Corporation
OTEX,TSX,Open Text Corporation
OR,TSX,Osisko Gold Royalties Ltd
PAAS,TSX,Pan American Silver Corp.
POU,TSX,Paramount Resources Ltd.
PXT,TSX,Parex Resources Inc.
PKI,TSX,Parkland Fuel Corporation
PSI,TSX,Pason Systems Inc.
PPL,TSX,Pembina Pipeline Corporation
PEY,TSX,Peyto Exploration & Development Corp.
POW,TSX,Power Corporation of Canada
PWF,TSX,Power Financial Corporation
PSK,TSX,PrairieSky Royalty Ltd.
PD,TSX,Precision Drilling Corporation
PBH,TSX,Premium Brands Holdings Corporation
PVG,TSX,Pretium Resources Inc.
PLI,TSX,ProMetic Life Sciences Inc.
QBR.B,TSX,Quebecor Inc.
RRX,TSX,Raging River Exploration Inc.
QSR,TSX,Restaurant Brands International Inc.
REI.UN,TSX,RioCan Real Estate Investment Trust
RBA,TSX,Ritchie Bros. Auctioneers Incorporated
RCI.B,TSX,Rogers Communications Inc.
RY,TSX,Royal Bank of Canada
RUS,TSX,Russel Metals Inc.
SSL,TSX,Sandstorm Gold Ltd.
SAP,TSX,Saputo Inc.
SES,TSX,Secure Energy Services Inc.
SMF,TSX,Semafo Inc.
VII,TSX,Seven Generations Energy Ltd.
SJR.B,TSX,Shaw Communications Inc.
SCL,TSX,ShawCor Ltd.
SHOP,TSX,Shopify Inc.
SIA,TSX,Sienna Senior Living Inc.
SW,TSX,Sierra Wireless Inc.
ZZZ,TSX,Sleep Country Canada Holdings Inc.
SRU.UN,TSX,SmartCentres Real Estate Investment Trust
SNC,TSX,SNC-Lavalin Group Inc.
SPE,TSX,Spartan Energy Corp.
TOY,TSX,Spin Master Corp.
SSRM,TSX,SSR Mining
STN,TSX,Stantec Inc.
SJ,TSX,Stella-Jones Inc.
SLF,TSX,Sun Life Financial Inc.
SU,TSX,Suncor Energy Inc.
SPB,TSX,Superior Plus Corp.
THO,TSX,Tahoe Resources Inc.
TECK.B,TSX,Teck Resources Limited
T,TSX,Telus Corporation
TFII,TSX,TFI International Inc.
NWC,TSX,The North West Company Inc.
TSGI,TSX,The Stars Group Inc.
TRI,TSX,Thomson Reuters Corporation
X,TSX,TMX Group Limited
TOG,TSX,TORC Oil & Gas Ltd.
TXG,TSX,Torex Gold Resources Inc.
TIH,TSX,Toromont Industries Ltd.
TD,TSX,Toronto-Dominion Bank
TOU,TSX,Tourmaline Oil Corp.
TA,TSX,TransAlta Corporation
RNW,TSX,TransAlta Renewables Inc.
TRP,TSX,TransCanada Corporation
TCL.A,TSX,Transcontinental Inc.
TCW,TSX,Trican Well Service Ltd.
TCN,TSX,Tricon Capital Group Inc.
TRQ,TSX,Turquoise Hill Resources Ltd.
UNS,TSX,Uni-Select Inc.
VRX,TSX,Valeant Pharmaceuticals International Inc.
VET,TSX,Vermilion Energy Inc.
WCN,TSX,Waste Connections Inc.
WFT,TSX,West Fraser Timber Co. Ltd.
WEF,TSX,Western Forest Products Inc.
WJA,TSX,WestJet Airlines Ltd.
WTE,TSX,Westshore Terminals Investment Corporation
WPM,TSX,Wheaton Precious Metals Corp.
WCP,TSX,Whitecap Resources Inc.
WPK,TSX,Winpak Ltd.
WSP,TSX,WSP Global Inc.
YRI,TSX,Yamana Gold Inc.
