symbol,,exchange,company
HR-UN,HR-UN.to,TSX,H&R Real Estate Investment Trust
HCG,HCG.to,TSX,Home Capital Group Inc.
HBM,HBM.to,TSX,HudBay Minerals Inc.
HBC,HBC.to,TSX,'Hudson''s Bay Company'
HSE,HSE.to,TSX,Husky Energy Inc.
H,H.to,TSX,Hydro One Limited
IMG,IMG.to,TSX,Iamgold Corporation
IGM,IGM.to,TSX,IGM Financial Inc.
IMO,IMO.to,TSX,Imperial Oil Limited
IAG,IAG.to,TSX,Industrial Alliance Insurance and Financial Services Inc.
INE,INE.to,TSX,Innergex Renewable Energy Inc.
IFC,IFC.to,TSX,Intact Financial Corporation
IPL,IPL.to,TSX,Inter Pipeline Ltd.
IFP,IFP.to,TSX,Interfor Corporation
ITP,ITP.to,TSX,Intertape Polymer Group Inc.
IVN,IVN.to,TSX,Ivanhoe Mines Ltd.
KEL,KEL.to,TSX,Kelt Exploration Ltd.
KEY,KEY.to,TSX,Keyera Corp.
KMP-UN,KMP-UN.to,TSX,Killiam Apartment Real Estate Investment Trust
KXS,KXS.to,TSX,Kinaxis Inc.
KML,KML.to,TSX,Kinder Morgan Canada
K,K.to,TSX,Kinross Gold Corporation
KL,KL.to,TSX,Kirkland Lake Gold Ltd.
GUD,GUD.to,TSX,Knight Therapeutics Inc.
LIF,LIF.to,TSX,Labrador Iron Ore Royalty Corporation
LB,LB.to,TSX,Laurentian Bank of Canada
LNR,LNR.to,TSX,Linamar Corporation
L,L.to,TSX,Loblaw Companies Limited
LUC,LUC.to,TSX,Lucara Diamond Corp.
LUN,LUN.to,TSX,Lundin Mining Corporation
MAG,MAG.to,TSX,MAG Silver Corp.
MG,MG.to,TSX,Magna International Inc.
MFC,MFC.to,TSX,Manulife Financial Corporation
MFI,MFI.to,TSX,Maple Leaf Foods Inc.
MRE,MRE.to,TSX,Martinrea International Inc.
MAXR,MAXR.to,TSX,Maxar Technologies Ltd.
MEG,MEG.to,TSX,MEG Energy Corp.
MX,MX.to,TSX,Methanex Corporation
MRU,MRU.to,TSX,Metro Inc.
MNW,MNW.to,TSX,Mitel Networks Corporation
MSI,MSI.to,TSX,Morneau Shepell Inc.
MTL,MTL.to,TSX,Mullen Group Ltd.
NA,NA.to,TSX,National Bank of Canada
NSU,NSU.to,TSX,Nevsun Resources Ltd.
NFI,NFI.to,TSX,New Flyer Industries Inc.
NGD,NGD.to,TSX,New Gold Inc.
NXE,NXE.to,TSX,NexGen Energy Ltd.
OSB,OSB.to,TSX,Norbord Inc.
NPI,NPI.to,TSX,Northland Power Inc.
NVU-UN,NVU-UN.to,TSX,Northview Apartment Real Estate Investment Trust
NG,NG.to,TSX,NovaGold Resources Inc.
NTR,NTR.to,TSX,Nutrien Ltd.
NVA,NVA.to,TSX,NuVista Energy Ltd.
OGC,OGC.to,TSX,OceanaGold Corporation
ONEX,ONEX.to,TSX,Onex Corporation
OTEX,OTEX.to,TSX,Open Text Corporation
OR,OR.to,TSX,Osisko Gold Royalties Ltd
PAAS,PAAS.to,TSX,Pan American Silver Corp.
POU,POU.to,TSX,Paramount Resources Ltd.
PXT,PXT.to,TSX,Parex Resources Inc.
PKI,PKI.to,TSX,Parkland Fuel Corporation
PSI,PSI.to,TSX,Pason Systems Inc.
PPL,PPL.to,TSX,Pembina Pipeline Corporation
PEY,PEY.to,TSX,Peyto Exploration & Development Corp.
POW,POW.to,TSX,Power Corporation of Canada
PWF,PWF.to,TSX,Power Financial Corporation
PSK,PSK.to,TSX,PrairieSky Royalty Ltd.
PD,PD.to,TSX,Precision Drilling Corporation
PBH,PBH.to,TSX,Premium Brands Holdings Corporation
PVG,PVG.to,TSX,Pretium Resources Inc.
PLI,PLI.to,TSX,ProMetic Life Sciences Inc.
QBR-B,QBR-B.to,TSX,Quebecor Inc.
RRX,RRX.to,TSX,Raging River Exploration Inc.
QSR,QSR.to,TSX,Restaurant Brands International Inc.
REI-UN,REI-UN.to,TSX,RioCan Real Estate Investment Trust
RBA,RBA.to,TSX,Ritchie Bros. Auctioneers Incorporated
RCI-B,RCI-B.to,TSX,Rogers Communications Inc.
RY,RY.to,TSX,Royal Bank of Canada
RUS,RUS.to,TSX,Russel Metals Inc.
SSL,SSL.to,TSX,Sandstorm Gold Ltd.
SAP,SAP.to,TSX,Saputo Inc.
SES,SES.to,TSX,Secure Energy Services Inc.
SMF,SMF.to,TSX,Semafo Inc.
VII,VII.to,TSX,Seven Generations Energy Ltd.
SJR-B,SJR-B.to,TSX,Shaw Communications Inc.
SCL,SCL.to,TSX,ShawCor Ltd.
SHOP,SHOP.to,TSX,Shopify Inc.
SIA,SIA.to,TSX,Sienna Senior Living Inc.
SW,SW.to,TSX,Sierra Wireless Inc.
ZZZ,ZZZ.to,TSX,Sleep Country Canada Holdings Inc.
SRU-UN,SRU-UN.to,TSX,SmartCentres Real Estate Investment Trust
SNC,SNC.to,TSX,SNC-Lavalin Group Inc.
SPE,SPE.to,TSX,Spartan Energy Corp.
TOY,TOY.to,TSX,Spin Master Corp.
SSRM,SSRM.to,TSX,SSR Mining
STN,STN.to,TSX,Stantec Inc.
SJ,SJ.to,TSX,Stella-Jones Inc.
SLF,SLF.to,TSX,Sun Life Financial Inc.
SU,SU.to,TSX,Suncor Energy Inc.
SPB,SPB.to,TSX,Superior Plus Corp.
THO,THO.to,TSX,Tahoe Resources Inc.
TECK-B,TECK-B.to,TSX,Teck Resources Limited
T,T.to,TSX,Telus Corporation
TFII,TFII.to,TSX,TFI International Inc.
NWC,NWC.to,TSX,The North West Company Inc.
TSGI,TSGI.to,TSX,The Stars Group Inc.
TRI,TRI.to,TSX,Thomson Reuters Corporation
X,X.to,TSX,TMX Group Limited
TOG,TOG.to,TSX,TORC Oil & Gas Ltd.
TXG,TXG.to,TSX,Torex Gold Resources Inc.
TIH,TIH.to,TSX,Toromont Industries Ltd.
TD,TD.to,TSX,Toronto-Dominion Bank
TOU,TOU.to,TSX,Tourmaline Oil Corp.
TA,TA.to,TSX,TransAlta Corporation
RNW,RNW.to,TSX,TransAlta Renewables Inc.
TRP,TRP.to,TSX,TransCanada Corporation
TCL-A,TCL-A.to,TSX,Transcontinental Inc.
TCW,TCW.to,TSX,Trican Well Service Ltd.
TCN,TCN.to,TSX,Tricon Capital Group Inc.
TRQ,TRQ.to,TSX,Turquoise Hill Resources Ltd.
UNS,UNS.to,TSX,Uni-Select Inc.
VRX,VRX.to,TSX,Valeant Pharmaceuticals International Inc.
VET,VET.to,TSX,Vermilion Energy Inc.
WCN,WCN.to,TSX,Waste Connections Inc.
WFT,WFT.to,TSX,West Fraser Timber Co. Ltd.
WEF,WEF.to,TSX,Western Forest Products Inc.
WJA,WJA.to,TSX,WestJet Airlines Ltd.
WTE,WTE.to,TSX,Westshore Terminals Investment Corporation
WPM,WPM.to,TSX,Wheaton Precious Metals Corp.
WCP,WCP.to,TSX,Whitecap Resources Inc.
WPK,WPK.to,TSX,Winpak Ltd.
WSP,WSP.to,TSX,WSP Global Inc.
YRI,YRI.to,TSX,Yamana Gold Inc.
